title,POLT,ALT,PALT,ETT,AET,director,year,Display
"Diaries, Notes and Sketches",,,,,Walden,Jonas Mekas,1969,"Diaries, Notes and Sketches [Walden] (Jonas Mekas, 1969)"
Reminiscences of a Journey to Lithuania,,,,,,Jonas Mekas,1972,"Reminiscences of a Journey to Lithuania (Jonas Mekas, 1972)"
"Lost, Lost, Lost",,,,,,Jonas Mekas,1976,"Lost, Lost, Lost (Jonas Mekas, 1976)"
Notes for Jerome,,,,,,Jonas Mekas,1978,"Notes for Jerome (Jonas Mekas, 1978)"
"Paradise Not Yet Lost, or Oona's Third Year ",,,,,,Jonas Mekas,1980,"Paradise Not Yet Lost, or Oona's Third Year  (Jonas Mekas, 1980)"
He Stands in a Desert Counting the Seconds of His Life,,,,,,Jonas Mekas,1986,"He Stands in a Desert Counting the Seconds of His Life (Jonas Mekas, 1986)"
Zefiro Torna or Scenes from the Life of George Maciunas,,,,,,Jonas Mekas,1992,"Zefiro Torna or Scenes from the Life of George Maciunas (Jonas Mekas, 1992)"
Song of Avignon,,,,,,Jonas Mekas,1998,"Song of Avignon (Jonas Mekas, 1998)"
This Side of Paradise,,,,,,Jonas Mekas,1999,"This Side of Paradise (Jonas Mekas, 1999)"
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,,,,,,Jonas Mekas,2000,"As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty (Jonas Mekas, 2000)"
Elvis,,,,,,Jonas Mekas,2001,"Elvis (Jonas Mekas, 2001)"
Out-Takes from the Life of a Happy Man,,,,,,Jonas Mekas,2012,"Out-Takes from the Life of a Happy Man (Jonas Mekas, 2012)"
Correspondencia Jonas Mekas - J.L. Guerín,,,,,,Jonas Mekas & José Luis Guerín,2011,"Correspondencia Jonas Mekas - J.L. Guerín (Jonas Mekas & José Luis Guerín, 2011)"
The Salvation Hunters,,,,,,Josef von Sternberg,1925,"The Salvation Hunters (Josef von Sternberg, 1925)"
Underworld,,,,,,Josef von Sternberg,1927,"Underworld (Josef von Sternberg, 1927)"
The Docks of New York,,,,,,Josef von Sternberg,1928,"The Docks of New York (Josef von Sternberg, 1928)"
The Last Command,,,,,,Josef von Sternberg,1928,"The Last Command (Josef von Sternberg, 1928)"
Thunderbolt,,,,,,Josef von Sternberg,1929,"Thunderbolt (Josef von Sternberg, 1929)"
Der blaue Engel,,,,The Blue Angel,,Josef von Sternberg,1930,"Der blaue Engel [The Blue Angel] (Josef von Sternberg, 1930)"
Morocco,,,,,,Josef von Sternberg,1930,"Morocco (Josef von Sternberg, 1930)"
An American Tragedy,,,,,,Josef von Sternberg,1931,"An American Tragedy (Josef von Sternberg, 1931)"
Dishonored,,,,,,Josef von Sternberg,1931,"Dishonored (Josef von Sternberg, 1931)"
Blonde Venus,,,,,,Josef von Sternberg,1932,"Blonde Venus (Josef von Sternberg, 1932)"
Shanghai Express,,,,,,Josef von Sternberg,1932,"Shanghai Express (Josef von Sternberg, 1932)"
The Scarlet Empress,,,,,,Josef von Sternberg,1934,"The Scarlet Empress (Josef von Sternberg, 1934)"
The Devil Is a Woman,,,,,,Josef von Sternberg,1935,"The Devil Is a Woman (Josef von Sternberg, 1935)"
Crime and Punishment,,,,,,Josef von Sternberg,1935,"Crime and Punishment (Josef von Sternberg, 1935)"
The Shanghai Gesture,,,,,,Josef von Sternberg,1941,"The Shanghai Gesture (Josef von Sternberg, 1941)"
Macao,,,,,,Josef von Sternberg,1952,"Macao (Josef von Sternberg, 1952)"
Anatahan,,,,,,Josef von Sternberg,1953,"Anatahan (Josef von Sternberg, 1953)"
Jet Pilot,,,,,,Josef von Sternberg,1957,"Jet Pilot (Josef von Sternberg, 1957)"
Pete-Roleum and His Cousins,,,,,,Joseph Losey,1939,"Pete-Roleum and His Cousins (Joseph Losey, 1939)"
The Boy with Green Hair,,,,,,Joseph Losey,1948,"The Boy with Green Hair (Joseph Losey, 1948)"
The Lawless,,,,,,Joseph Losey,1950,"The Lawless (Joseph Losey, 1950)"
The Big Night,,,,,,Joseph Losey,1951,"The Big Night (Joseph Losey, 1951)"
M,,,,,,Joseph Losey,1951,"M (Joseph Losey, 1951)"
The Prowler,,,,,,Joseph Losey,1951,"The Prowler (Joseph Losey, 1951)"
Imbarco a mezzanotte,,,,Stranger on the Prowl,,Joseph Losey,1952,"Imbarco a mezzanotte [Stranger on the Prowl] (Joseph Losey, 1952)"
The Sleeping Tiger,,,,,,Joseph Losey,1954,"The Sleeping Tiger (Joseph Losey, 1954)"
The Intimate Stranger,,,,,,Joseph Losey,1956,"The Intimate Stranger (Joseph Losey, 1956)"
Time Without Pity,,,,,,Joseph Losey,1957,"Time Without Pity (Joseph Losey, 1957)"
The Gypsy and the Gentleman,,,,,,Joseph Losey,1958,"The Gypsy and the Gentleman (Joseph Losey, 1958)"
Blind Date,,,,,,Joseph Losey,1959,"Blind Date (Joseph Losey, 1959)"
The Criminal,,,,,,Joseph Losey,1960,"The Criminal (Joseph Losey, 1960)"
The Damned,,,,,,Joseph Losey,1962,"The Damned (Joseph Losey, 1962)"
Eva,,,,,,Joseph Losey,1962,"Eva (Joseph Losey, 1962)"
The Servant,,,,,,Joseph Losey,1963,"The Servant (Joseph Losey, 1963)"
King and Country,,,,,,Joseph Losey,1964,"King and Country (Joseph Losey, 1964)"
Modesty Blaise,,,,,,Joseph Losey,1966,"Modesty Blaise (Joseph Losey, 1966)"
Accident,,,,,,Joseph Losey,1967,"Accident (Joseph Losey, 1967)"
Boom!,,,,,,Joseph Losey,1968,"Boom! (Joseph Losey, 1968)"
Secret Ceremony,,,,,,Joseph Losey,1968,"Secret Ceremony (Joseph Losey, 1968)"
Figures in a Landscape,,,,,,Joseph Losey,1970,"Figures in a Landscape (Joseph Losey, 1970)"
The Go-Between,,,,,,Joseph Losey,1971,"The Go-Between (Joseph Losey, 1971)"
The Assassination of Trotsky,,,,,,Joseph Losey,1972,"The Assassination of Trotsky (Joseph Losey, 1972)"
Monsieur Klein,,,,Mr. Klein,,Joseph Losey,1976,"Monsieur Klein [Mr. Klein] (Joseph Losey, 1976)"
Don Giovanni,,,,,,Joseph Losey,1979,"Don Giovanni (Joseph Losey, 1979)"
Poil de Carotte,,,,The Red Head,,Julien Duvivier,1925,"Poil de Carotte [The Red Head] (Julien Duvivier, 1925)"
Au bonheur des dames,,,,The Ladies' Paradise,,Julien Duvivier,1930,"Au bonheur des dames [The Ladies' Paradise] (Julien Duvivier, 1930)"
David Golder,,,,,,Julien Duvivier,1931,"David Golder (Julien Duvivier, 1931)"
Poil de Carotte,,,,The Red Head,,Julien Duvivier,1932,"Poil de Carotte [The Red Head] (Julien Duvivier, 1932)"
La Tête d'un homme,,,,A Man's Neck,,Julien Duvivier,1933,"La Tête d'un homme [A Man's Neck] (Julien Duvivier, 1933)"
Le Paquebot Tenacity,,,,S.S. Tenacity,,Julien Duvivier,1934,"Le Paquebot Tenacity [S.S. Tenacity] (Julien Duvivier, 1934)"
La Belle Équipe,,,,They Were Five,,Julien Duvivier,1936,"La Belle Équipe [They Were Five] (Julien Duvivier, 1936)"
Un carnet de bal,,,,Dance Program,,Julien Duvivier,1937,"Un carnet de bal [Dance Program] (Julien Duvivier, 1937)"
Pépé le Moko,,,,,,Julien Duvivier,1937,"Pépé le Moko (Julien Duvivier, 1937)"
The Great Waltz,,,,,,Julien Duvivier,1938,"The Great Waltz (Julien Duvivier, 1938)"
La Fin du jour,,,,The End of the Day,,Julien Duvivier,1939,"La Fin du jour [The End of the Day] (Julien Duvivier, 1939)"
Tales of Manhattan,,,,,,Julien Duvivier,1942,"Tales of Manhattan (Julien Duvivier, 1942)"
Panique,,,,,,Julien Duvivier,1946,"Panique (Julien Duvivier, 1946)"
Au royaume des cieux,,,,The Sinners,,Julien Duvivier,1949,"Au royaume des cieux [The Sinners] (Julien Duvivier, 1949)"
Le Petit Monde de Don Camillo,,,,The Little World of Don Camillo,,Julien Duvivier,1951,"Le Petit Monde de Don Camillo [The Little World of Don Camillo] (Julien Duvivier, 1951)"
La Fête à Henriette,,,,Holiday for Henrietta,,Julien Duvivier,1952,"La Fête à Henriette [Holiday for Henrietta] (Julien Duvivier, 1952)"
Marianne de ma jeunesse,,,,Marianne of My Youth,,Julien Duvivier,1955,"Marianne de ma jeunesse [Marianne of My Youth] (Julien Duvivier, 1955)"
Voici le temps des assassins,,,,Deadlier Than the Male,,Julien Duvivier,1956,"Voici le temps des assassins [Deadlier Than the Male] (Julien Duvivier, 1956)"
Marie-Octobre,,,,,,Julien Duvivier,1959,"Marie-Octobre (Julien Duvivier, 1959)"
狂恋の女師匠,Kyōren no onna shishō,,,The Love-Mad Tutoress,,Kenji Mizoguchi,1926,"狂恋の女師匠 [Kyōren no onna shishō] [The Love-Mad Tutoress] (Kenji Mizoguchi, 1926)"
紙人形春の囁き,Kaminingyō no haru no sasayaki,,,A Paper Doll's Whisper of Spring,,Kenji Mizoguchi,1926,"紙人形春の囁き [Kaminingyō no haru no sasayaki] [A Paper Doll's Whisper of Spring] (Kenji Mizoguchi, 1926)"
浪華悲歌,Naniwa hika or Naniwa erejī,,,Osaka Elegy,,Kenji Mizoguchi,1936,"浪華悲歌 [Naniwa hika or Naniwa erejī] [Osaka Elegy] (Kenji Mizoguchi, 1936)"
祇園の姉妹,Gion no kyōdai,,,Sisters of the Gion,,Kenji Mizoguchi,1936,"祇園の姉妹 [Gion no kyōdai] [Sisters of the Gion] (Kenji Mizoguchi, 1936)"
愛怨峡,Aien kyō,,,The Straits of Love and Hate,,Kenji Mizoguchi,1937,"愛怨峡 [Aien kyō] [The Straits of Love and Hate] (Kenji Mizoguchi, 1937)"
残菊物語,Zangiku monogatari,,,The Story of the Last Chrysanthemums,,Kenji Mizoguchi,1939,"残菊物語 [Zangiku monogatari] [The Story of the Last Chrysanthemums] (Kenji Mizoguchi, 1939)"
元禄忠臣蔵,Genroku chūshingura,,,The 47 Ronin,,Kenji Mizoguchi,1941,"元禄忠臣蔵 [Genroku chūshingura] [The 47 Ronin] (Kenji Mizoguchi, 1941)"
宮本武蔵,Miyamoto Musashi,,,The Swordsman,,Kenji Mizoguchi,1944,"宮本武蔵 [Miyamoto Musashi] [The Swordsman] (Kenji Mizoguchi, 1944)"
歌麿をめぐる五人の女,Utamaro o meguru gonin no onna,,,Utamaro and His Five Women,,Kenji Mizoguchi,1946,"歌麿をめぐる五人の女 [Utamaro o meguru gonin no onna] [Utamaro and His Five Women] (Kenji Mizoguchi, 1946)"
夜の女たち,Yoru no onnatachi,,,Women of the Night,,Kenji Mizoguchi,1948,"夜の女たち [Yoru no onnatachi] [Women of the Night] (Kenji Mizoguchi, 1948)"
わが恋は燃えぬ,Waga koi wa moenu,,,My Love Has Been Burning,,Kenji Mizoguchi,1949,"わが恋は燃えぬ [Waga koi wa moenu] [My Love Has Been Burning] (Kenji Mizoguchi, 1949)"
雪夫人絵図,Yuki fujin ezu,,,Portrait of Madame Yuki,,Kenji Mizoguchi,1950,"雪夫人絵図 [Yuki fujin ezu] [Portrait of Madame Yuki] (Kenji Mizoguchi, 1950)"
武蔵野夫人,Musashino fujin,,,The Lady from Musashino,,Kenji Mizoguchi,1951,"武蔵野夫人 [Musashino fujin] [The Lady from Musashino] (Kenji Mizoguchi, 1951)"
お遊さま,Oyū-sama,,,Miss Oyu,,Kenji Mizoguchi,1951,"お遊さま [Oyū-sama] [Miss Oyu] (Kenji Mizoguchi, 1951)"
西鶴一代女,Saikaku ichidai onna,,,The Life of Oharu,,Kenji Mizoguchi,1952,"西鶴一代女 [Saikaku ichidai onna] [The Life of Oharu] (Kenji Mizoguchi, 1952)"
祇園囃子,Gion bayashi,,,A Geisha,,Kenji Mizoguchi,1953,"祇園囃子 [Gion bayashi] [A Geisha] (Kenji Mizoguchi, 1953)"
雨月物語,Ugetsu monogatari,,,,,Kenji Mizoguchi,1953,"雨月物語 [Ugetsu monogatari] (Kenji Mizoguchi, 1953)"
近松物語,Chikamatsu monogatari,,,The Crucified Lovers,,Kenji Mizoguchi,1954,"近松物語 [Chikamatsu monogatari] [The Crucified Lovers] (Kenji Mizoguchi, 1954)"
山椒大夫,Sanshō dayū,,,Sansho the Bailiff,,Kenji Mizoguchi,1954,"山椒大夫 [Sanshō dayū] [Sansho the Bailiff] (Kenji Mizoguchi, 1954)"
噂の女,Uwasa no onna,,,The Woman in the Rumor,,Kenji Mizoguchi,1954,"噂の女 [Uwasa no onna] [The Woman in the Rumor] (Kenji Mizoguchi, 1954)"
楊貴妃,Yokihi,,,Princess Yang Kwei Fei,,Kenji Mizoguchi,1955,"楊貴妃 [Yokihi] [Princess Yang Kwei Fei] (Kenji Mizoguchi, 1955)"
新・平家物語,Shin heike monogatari,,,Tales of the Taira Clan,,Kenji Mizoguchi,1955,"新・平家物語 [Shin heike monogatari] [Tales of the Taira Clan] (Kenji Mizoguchi, 1955)"
赤線地帯,Akasen chitai,,,Street of Shame,,Kenji Mizoguchi,1956,"赤線地帯 [Akasen chitai] [Street of Shame] (Kenji Mizoguchi, 1956)"
瀧の白糸,Taki no shiraito,,,The Water Magician,,Kenji Mizoguchi & Takuaki Seiryô,1933,"瀧の白糸 [Taki no shiraito] [The Water Magician] (Kenji Mizoguchi & Takuaki Seiryô, 1933)"
俺は待ってるぜ,Ore wa matteru ze,,,I Am Waiting,,Koreyoshi Kurahara,1957,"俺は待ってるぜ [Ore wa matteru ze] [I Am Waiting] (Koreyoshi Kurahara, 1957)"
ある脅迫,Aru kyōhaku,,,Intimidation,,Koreyoshi Kurahara,1960,"ある脅迫 [Aru kyōhaku] [Intimidation] (Koreyoshi Kurahara, 1960)"
狂熱の季節,Kyōnetsu no kisetsu,,,The Warped Ones,,Koreyoshi Kurahara,1960,"狂熱の季節 [Kyōnetsu no kisetsu] [The Warped Ones] (Koreyoshi Kurahara, 1960)"
硝子のジョニー 野獣のように見えて,Garasu no johnny yajû no yō ni miete,,,Glass Johnny Looks Like a Beast,,Koreyoshi Kurahara,1962,"硝子のジョニー 野獣のように見えて [Garasu no johnny yajû no yō ni miete] [Glass Johnny Looks Like a Beast] (Koreyoshi Kurahara, 1962)"
憎いあンちくしょう,Nikui anchikushō,,,I Hate But Love,,Koreyoshi Kurahara,1962,"憎いあンちくしょう [Nikui anchikushō] [I Hate But Love] (Koreyoshi Kurahara, 1962)"
執炎,Shûen,,,The Flame of Devotion,,Koreyoshi Kurahara,1964,"執炎 [Shûen] [The Flame of Devotion] (Koreyoshi Kurahara, 1964)"
黒い太陽,Kuroi taiyō,,,Black Sun,,Koreyoshi Kurahara,1964,"黒い太陽 [Kuroi taiyō] [Black Sun] (Koreyoshi Kurahara, 1964)"
愛の渇き,Ai no kawaki,,,Thirst for Love,,Koreyoshi Kurahara,1967,"愛の渇き [Ai no kawaki] [Thirst for Love] (Koreyoshi Kurahara, 1967)"
南極物語,Nankyoku monogatari,,,Antarctica,,Koreyoshi Kurahara,1983,"南極物語 [Nankyoku monogatari] [Antarctica] (Koreyoshi Kurahara, 1983)"
Forbrydelsens element,,,,The Element of Crime,,Lars von Trier,1984,"Forbrydelsens element [The Element of Crime] (Lars von Trier, 1984)"
Epidemic,,,,,,Lars von Trier,1987,"Epidemic (Lars von Trier, 1987)"
Medea,,,,,,Lars von Trier,1988,"Medea (Lars von Trier, 1988)"
Europa,,,,,,Lars von Trier,1991,"Europa (Lars von Trier, 1991)"
Breaking the Waves,,,,,,Lars von Trier,1996,"Breaking the Waves (Lars von Trier, 1996)"
Idioterne,,,,The Idiots,,Lars von Trier,1998,"Idioterne [The Idiots] (Lars von Trier, 1998)"
Dancer in the Dark,,,,,,Lars von Trier,2000,"Dancer in the Dark (Lars von Trier, 2000)"
Dogville,,,,,,Lars von Trier,2003,"Dogville (Lars von Trier, 2003)"
Manderlay,,,,,,Lars von Trier,2005,"Manderlay (Lars von Trier, 2005)"
Direktøren for det hele,,,,The Boss of It All,,Lars von Trier,2006,"Direktøren for det hele [The Boss of It All] (Lars von Trier, 2006)"
Antichrist,,,,,,Lars von Trier,2009,"Antichrist (Lars von Trier, 2009)"
Melancholia,,,,,,Lars von Trier,2011,"Melancholia (Lars von Trier, 2011)"
Nymph()maniac,,,,,,Lars von Trier,2013,"Nymph()maniac (Lars von Trier, 2013)"
The House That Jack Built,,,,,,Lars von Trier,2018,"The House That Jack Built (Lars von Trier, 2018)"
De fem benspænd,,,,The Five Obstructions,,Lars von Trier & Jørgen Leth,2003,"De fem benspænd [The Five Obstructions] (Lars von Trier & Jørgen Leth, 2003)"
Riget,,,,The Kingdom,,Lars von Trier & Morten Arnfred,1994/1997,"Riget [The Kingdom] (Lars von Trier & Morten Arnfred, 1994/1997)"
Home of the Brave,,,,,,Laurie Anderson,1986,"Home of the Brave (Laurie Anderson, 1986)"
Heart of a Dog,,,,,,Laurie Anderson,2015,"Heart of a Dog (Laurie Anderson, 2015)"
Mant!,,,,,,Lawrence Woolsey,1962,"Mant! (Lawrence Woolsey, 1962)"
Le streghe,,,,The Witches,,"Luchino Visconti, Mauro Bolognini, Pier Paolo Pasolini, Franco Rossi & Vittorio De Sica",1967,"Le streghe [The Witches] (Luchino Visconti, Mauro Bolognini, Pier Paolo Pasolini, Franco Rossi & Vittorio De Sica, 1967)"
Les Trois Valses,,,,Three Waltzes,,Ludwig Berger,1938,"Les Trois Valses [Three Waltzes] (Ludwig Berger, 1938)"
Un chien andalou,,,,An Andalusian Dog,,Luis Buñuel,1928,"Un chien andalou [An Andalusian Dog] (Luis Buñuel, 1928)"
L'Âge d'or,,,,The Golden Age,,Luis Buñuel,1930,"L'Âge d'or [The Golden Age] (Luis Buñuel, 1930)"
Las Hurdes,,,,Land Without Bread,,Luis Buñuel,1932,"Las Hurdes [Land Without Bread] (Luis Buñuel, 1932)"
Gran Casino,,,,Magnificent Casino,,Luis Buñuel,1947,"Gran Casino [Magnificent Casino] (Luis Buñuel, 1947)"
El gran calavera,,,,The Great Madcap,,Luis Buñuel,1949,"El gran calavera [The Great Madcap] (Luis Buñuel, 1949)"
Los olvidados,,,,The Young and the Damned,,Luis Buñuel,1950,"Los olvidados [The Young and the Damned] (Luis Buñuel, 1950)"
Susana,,,,,,Luis Buñuel,1951,"Susana (Luis Buñuel, 1951)"
Subida al cielo,,,,Mexican Bus Ride,,Luis Buñuel,1952,"Subida al cielo [Mexican Bus Ride] (Luis Buñuel, 1952)"
Robinson Crusoe,,,,,,Luis Buñuel,1952,"Robinson Crusoe (Luis Buñuel, 1952)"
Él,,,,This Strange Passion,,Luis Buñuel,1953,"Él [This Strange Passion] (Luis Buñuel, 1953)"
La ilusión viaja en tranvía,,,,Illusion Travels by Streetcar,,Luis Buñuel,1953,"La ilusión viaja en tranvía [Illusion Travels by Streetcar] (Luis Buñuel, 1953)"
Abismos de pasión,,,,Wuthering Heights,,Luis Buñuel,1954,"Abismos de pasión [Wuthering Heights] (Luis Buñuel, 1954)"
Ensayo de un crimen,,,,The Criminal Life of Archibaldo de la Cruz,,Luis Buñuel,1955,"Ensayo de un crimen [The Criminal Life of Archibaldo de la Cruz] (Luis Buñuel, 1955)"
La Mort en ce jardin,,,,Death in the Garden,,Luis Buñuel,1956,"La Mort en ce jardin [Death in the Garden] (Luis Buñuel, 1956)"
Cela s'appelle l'aurore,,,,That Is the Dawn,,Luis Buñuel,1956,"Cela s'appelle l'aurore [That Is the Dawn] (Luis Buñuel, 1956)"
Nazarín,,,,,,Luis Buñuel,1958,"Nazarín (Luis Buñuel, 1958)"
La fièvre monte à El Pao,,,,Republic of Sin,,Luis Buñuel,1959,"La fièvre monte à El Pao [Republic of Sin] (Luis Buñuel, 1959)"
The Young One,,,,,,Luis Buñuel,1960,"The Young One (Luis Buñuel, 1960)"
Viridiana,,,,,,Luis Buñuel,1961,"Viridiana (Luis Buñuel, 1961)"
El ángel exterminador,,,,The Exterminating Angel,,Luis Buñuel,1962,"El ángel exterminador [The Exterminating Angel] (Luis Buñuel, 1962)"
Le Journal d'une femme de chambre,,,,Diary of a Chambermaid,,Luis Buñuel,1964,"Le Journal d'une femme de chambre [Diary of a Chambermaid] (Luis Buñuel, 1964)"
Simón del desierto,,,,Simon of the Desert,,Luis Buñuel,1965,"Simón del desierto [Simon of the Desert] (Luis Buñuel, 1965)"
Belle de jour,,,,,,Luis Buñuel,1967,"Belle de jour (Luis Buñuel, 1967)"
La Voie lactée,,,,The Milky Way,,Luis Buñuel,1969,"La Voie lactée [The Milky Way] (Luis Buñuel, 1969)"
Tristana,,,,,,Luis Buñuel,1970,"Tristana (Luis Buñuel, 1970)"
Le Charme discret de la bourgeoisie,,,,The Discreet Charm of the Bourgeoisie,,Luis Buñuel,1972,"Le Charme discret de la bourgeoisie [The Discreet Charm of the Bourgeoisie] (Luis Buñuel, 1972)"
Le Fantôme de la liberté,,,,The Phantom of Liberty,,Luis Buñuel,1974,"Le Fantôme de la liberté [The Phantom of Liberty] (Luis Buñuel, 1974)"
Cet obscur objet du désir,,,,That Obscure Object of Desire,,Luis Buñuel,1977,"Cet obscur objet du désir [That Obscure Object of Desire] (Luis Buñuel, 1977)"
Fanny,,,,,,Marc Allégret,1932,"Fanny (Marc Allégret, 1932)"
Zouzou,,,,,,Marc Allégret,1934,"Zouzou (Marc Allégret, 1934)"
Félicie Nanteuil,,,,Twilight,,Marc Allégret,1945,"Félicie Nanteuil [Twilight] (Marc Allégret, 1945)"
Drôle de drame,,,,"Bizarre, Bizarre",,Marcel Carné,1937,"Drôle de drame [Bizarre, Bizarre] (Marcel Carné, 1937)"
Hôtel du Nord,,,,,,Marcel Carné,1938,"Hôtel du Nord (Marcel Carné, 1938)"
Le Quai des brumes,,,,Port of Shadows,,Marcel Carné,1938,"Le Quai des brumes [Port of Shadows] (Marcel Carné, 1938)"
Le jour se lève,,,,Daybreak,,Marcel Carné,1939,"Le jour se lève [Daybreak] (Marcel Carné, 1939)"
Les Visiteurs du soir,,,,The Devil's Envoys,,Marcel Carné,1942,"Les Visiteurs du soir [The Devil's Envoys] (Marcel Carné, 1942)"
Les Enfants du paradis,,,,Children of Paradise,,Marcel Carné,1945,"Les Enfants du paradis [Children of Paradise] (Marcel Carné, 1945)"
Les Portes de la nuit,,,,Gates of the Night,,Marcel Carné,1946,"Les Portes de la nuit [Gates of the Night] (Marcel Carné, 1946)"
La Marie du port,,,,,,Marcel Carné,1951,"La Marie du port (Marcel Carné, 1951)"
Thérèse Raquin,,,,,,Marcel Carné,1953,"Thérèse Raquin (Marcel Carné, 1953)"
Les Tricheurs,,,,Young Sinners,,Marcel Carné,1958,"Les Tricheurs [Young Sinners] (Marcel Carné, 1958)"
Trois chambres à Manhattan,,,,Three Rooms in Manhattan,,Marcel Carné,1965,"Trois chambres à Manhattan [Three Rooms in Manhattan] (Marcel Carné, 1965)"
Capriccio all'italiana,,,,Caprice Italian Style,,"Mario Monicelli, Steno, Mauro Bolognini, Pier Paolo Pasolini & Pino Zac",1968,"Capriccio all'italiana [Caprice Italian Style] (Mario Monicelli, Steno, Mauro Bolognini, Pier Paolo Pasolini & Pino Zac, 1968)"
Sodom und Gomorrha: Die Legende von Sünde und Strafe,,,,Sodom and Gomorrah,,Michael Curtiz,1922,"Sodom und Gomorrha: Die Legende von Sünde und Strafe [Sodom and Gomorrah] (Michael Curtiz, 1922)"
The Mad Genius,,,,,,Michael Curtiz,1931,"The Mad Genius (Michael Curtiz, 1931)"
The Strange Love of Molly Louvain,,,,,,Michael Curtiz,1932,"The Strange Love of Molly Louvain (Michael Curtiz, 1932)"
"20,000 Years in Sing Sing",,,,,,Michael Curtiz,1933,"20,000 Years in Sing Sing (Michael Curtiz, 1933)"
The Kennel Murder Case,,,,,,Michael Curtiz,1933,"The Kennel Murder Case (Michael Curtiz, 1933)"
Mystery of the Wax Museum,,,,,,Michael Curtiz,1933,"Mystery of the Wax Museum (Michael Curtiz, 1933)"
Captain Blood,,,,,,Michael Curtiz,1935,"Captain Blood (Michael Curtiz, 1935)"
The Charge of the Light Brigade,,,,,,Michael Curtiz,1936,"The Charge of the Light Brigade (Michael Curtiz, 1936)"
The Walking Dead,,,,,,Michael Curtiz,1936,"The Walking Dead (Michael Curtiz, 1936)"
Kid Galahad,,,,,,Michael Curtiz,1937,"Kid Galahad (Michael Curtiz, 1937)"
Angels with Dirty Faces,,,,,,Michael Curtiz,1938,"Angels with Dirty Faces (Michael Curtiz, 1938)"
Four's a Crowd,,,,,,Michael Curtiz,1938,"Four's a Crowd (Michael Curtiz, 1938)"
Dodge City,,,,,,Michael Curtiz,1939,"Dodge City (Michael Curtiz, 1939)"
The Private Lives of Elizabeth and Essex,,,,,,Michael Curtiz,1939,"The Private Lives of Elizabeth and Essex (Michael Curtiz, 1939)"
Santa Fe Trail,,,,,,Michael Curtiz,1940,"Santa Fe Trail (Michael Curtiz, 1940)"
The Sea Hawk,,,,,,Michael Curtiz,1940,"The Sea Hawk (Michael Curtiz, 1940)"
Virginia City,,,,,,Michael Curtiz,1940,"Virginia City (Michael Curtiz, 1940)"
The Sea Wolf,,,,,,Michael Curtiz,1941,"The Sea Wolf (Michael Curtiz, 1941)"
Casablanca,,,,,,Michael Curtiz,1942,"Casablanca (Michael Curtiz, 1942)"
Yankee Doodle Dandy,,,,,,Michael Curtiz,1942,"Yankee Doodle Dandy (Michael Curtiz, 1942)"
Passage to Marseille,,,,,,Michael Curtiz,1944,"Passage to Marseille (Michael Curtiz, 1944)"
Mildred Pierce,,,,,,Michael Curtiz,1945,"Mildred Pierce (Michael Curtiz, 1945)"
Night and Day,,,,,,Michael Curtiz,1946,"Night and Day (Michael Curtiz, 1946)"
Life with Father,,,,,,Michael Curtiz,1947,"Life with Father (Michael Curtiz, 1947)"
The Unsuspected,,,,,,Michael Curtiz,1947,"The Unsuspected (Michael Curtiz, 1947)"
Flamingo Road,,,,,,Michael Curtiz,1949,"Flamingo Road (Michael Curtiz, 1949)"
My Dream is Yours,,,,,,Michael Curtiz,1949,"My Dream is Yours (Michael Curtiz, 1949)"
The Breaking Point,,,,,,Michael Curtiz,1950,"The Breaking Point (Michael Curtiz, 1950)"
Young Man with a Horn,,,,,,Michael Curtiz,1950,"Young Man with a Horn (Michael Curtiz, 1950)"
The Egyptian,,,,,,Michael Curtiz,1954,"The Egyptian (Michael Curtiz, 1954)"
White Christmas,,,,,,Michael Curtiz,1954,"White Christmas (Michael Curtiz, 1954)"
King Creole,,,,,,Michael Curtiz,1958,"King Creole (Michael Curtiz, 1958)"
The Man in the Net,,,,,,Michael Curtiz,1959,"The Man in the Net (Michael Curtiz, 1959)"
The Adventures of Robin Hood,,,,,,Michael Curtiz & William Keighley,1938,"The Adventures of Robin Hood (Michael Curtiz & William Keighley, 1938)"
Der siebente Kontinent,,,,The Seventh Continent,,Michael Haneke,1989,"Der siebente Kontinent [The Seventh Continent] (Michael Haneke, 1989)"
Benny's Video,,,,,,Michael Haneke,1992,"Benny's Video (Michael Haneke, 1992)"
71 Fragmente einer Chronologie des Zufalls,,,,71 Fragments of a Chronology of Chance,,Michael Haneke,1995,"71 Fragmente einer Chronologie des Zufalls [71 Fragments of a Chronology of Chance] (Michael Haneke, 1995)"
Funny Games,,,,,,Michael Haneke,1997,"Funny Games (Michael Haneke, 1997)"
Code inconnu: Récit incomplet de divers voyages,,,,Code Unknown,,Michael Haneke,2000,"Code inconnu: Récit incomplet de divers voyages [Code Unknown] (Michael Haneke, 2000)"
La Pianiste,,,,The Piano Teacher,,Michael Haneke,2001,"La Pianiste [The Piano Teacher] (Michael Haneke, 2001)"
Le Temps du loup,,,,Time of the Wolf,,Michael Haneke,2003,"Le Temps du loup [Time of the Wolf] (Michael Haneke, 2003)"
Caché,,,,Hidden,,Michael Haneke,2005,"Caché [Hidden] (Michael Haneke, 2005)"
